"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
LHX,185.85,3.86,2024800,178.47,175.88,174.63,175.55,178.66,179.89,181.00,172.61,176.77,178.17,0,0,-0.21,-0.25,
HRL,49.49,-0.82,1972100,49.61,49.54,49.50,49.59,49.14,48.87,48.57,49.55,49.94,49.45,0,0,-0.0085,-0.0069,
LMT,363.95,0.74,1951900,362.91,364.20,367.63,376.24,378.47,378.62,378.45,369.05,381.74,380.03,0,0,-1.52,-1.22,
LRCX,416.28,1.68,1934300,389.38,378.39,369.24,351.54,335.19,329.23,323.35,367.37,346.26,336.68,13,9,0.53,0.73,
NSC,230.42,3.25,1841800,221.92,218.92,217.05,211.37,202.53,200.08,198.04,215.35,214.64,199.13,0,0,-0.13,-0.11,
INTU,360.14,2.24,1820100,343.90,339.02,335.87,326.64,313.87,309.69,305.81,335.57,329.26,312.22,0,0,-0.35,-0.09,
NTRS,90.80,11.19,1809600,83.34,82.65,82.40,81.79,82.03,82.45,82.98,83.08,81.83,81.28,0,0,-0.13,-0.04,
QRVO,149.48,1.50,1808600,140.66,137.75,135.79,130.62,123.35,120.79,118.36,134.93,131.13,123.10,0,0,-0.04,0.03,
INCY,81.28,-2.25,1795500,84.84,86.12,87.37,90.51,91.72,91.56,91.22,88.33,90.52,95.42,0,0,-0.33,-0.23,
PPG,141.87,2.24,1783800,136.87,135.19,133.56,127.06,120.56,119.09,117.96,133.93,127.13,117.63,0,0,0.11,0.21,
HAS,85.40,1.26,1742700,84.36,84.55,84.57,82.32,80.83,81.02,81.45,85.58,81.95,78.56,0,0,-0.05,0.06,
NOC,301.28,-0.03,1732000,303.15,303.81,306.30,316.09,321.53,322.97,324.12,305.68,323.48,321.42,0,0,-0.92,-0.91,
GRMN,115.27,0.07,1666300,111.22,108.22,105.33,101.01,98.09,97.14,96.24,103.30,100.67,98.84,0,0,0.50,0.36,
ILMN,305.69,-0.80,1595700,307.22,309.38,312.47,324.72,330.14,329.95,329.30,315.94,325.53,347.05,3,0,-1.11,-0.73,
LNT,56.63,3.77,1551000,55.70,55.64,55.34,53.99,52.96,52.73,52.54,55.56,53.83,52.09,0,0,0.13,0.13,
PRGO,46.03,2.98,1529900,44.72,44.68,44.94,47.24,49.34,49.80,50.18,44.99,47.60,51.20,0,0,-0.11,-0.11,
KSU,184.31,0.48,1515100,181.89,181.17,181.06,178.79,171.21,168.55,166.03,180.68,182.75,169.64,0,0,-0.21,-0.18,
LH,198.55,-7.19,1509300,207.10,205.90,203.19,193.71,186.01,183.90,182.10,203.40,189.80,184.93,0,0,0.86,0.82,
KEYS,115.56,2.29,1502200,110.55,108.83,107.09,102.96,100.86,100.32,99.78,106.92,101.22,100.88,0,0,0.27,0.29,
KMX,95.97,3.47,1499000,92.56,91.86,92.10,94.73,93.59,92.86,92.13,91.07,98.30,96.00,0,0,-0.26,-0.30,
MCO,275.45,-5.22,1496500,279.10,277.78,278.39,280.82,275.77,272.86,269.69,277.78,284.03,281.27,0,0,-1.08,-0.85,
PSA,222.08,-4.00,1464900,229.87,230.95,230.84,222.95,215.42,214.20,213.53,232.69,222.52,209.17,0,0,0.12,0.28,
RJF,85.59,10.42,1445000,80.00,79.24,78.52,76.22,75.09,75.13,75.31,78.79,75.93,73.85,0,0,0.08,0.13,
PNW,87.94,4.95,1408600,84.37,83.77,82.84,79.78,79.29,79.60,80.02,83.22,77.48,77.74,0,0,0.22,0.27,
ITW,213.89,2.13,1368400,207.20,205.07,203.31,197.61,189.99,187.56,185.32,203.13,198.70,188.52,0,0,0.10,0.16,
REGN,567.55,-1.81,1321100,572.29,572.68,574.57,582.19,572.91,564.51,554.90,577.17,582.59,598.76,3,0,-1.33,-0.87,
NWS,15.83,4.56,1318500,14.37,14.07,13.97,13.96,13.56,13.44,13.36,13.80,14.41,13.52,0,0,-0.04,-0.04,
JBHT,124.31,-0.19,1286600,125.06,125.65,126.82,129.14,126.14,124.70,123.32,127.51,132.51,128.39,0,0,-0.54,-0.42,
IQV,173.66,1.29,1276300,167.87,165.86,164.51,160.80,155.88,154.45,153.21,164.57,161.21,155.26,0,0,-0.06,0.04,
MSI,170.26,3.51,1275400,165.21,165.30,165.00,159.39,155.01,154.44,154.12,167.23,159.27,149.48,0,0,0.09,0.26,
L,42.55,12.89,1272300,38.25,37.32,36.68,36.04,36.53,36.99,37.52,36.09,35.91,35.59,0,0,0.02,0.0081,
PWR,65.49,0.57,1248400,64.61,63.80,62.45,56.42,50.66,49.16,47.90,62.77,56.04,48.11,0,0,0.31,0.34,
MSCI,390.46,-7.29,1245800,389.90,379.72,371.29,360.42,349.52,344.36,338.83,365.60,358.84,354.27,0,0,0.84,0.57,
MAA,125.61,2.40,1211200,122.29,121.07,120.30,118.63,118.07,118.20,118.37,119.64,118.24,116.96,0,0,-0.17,-0.10,
LEG,41.80,2.78,1182900,41.81,42.15,42.49,41.87,40.32,40.03,39.86,43.09,42.54,39.16,0,0,-0.11,-0.05,
GPC,98.49,4.04,1176700,95.81,95.77,96.17,95.64,93.20,92.68,92.38,96.93,96.91,92.48,0,0,-0.29,-0.18,
HSY,149.72,0.21,1168400,145.67,144.77,144.43,143.58,142.33,142.08,141.83,145.09,144.83,140.15,0,0,-0.19,-0.10,
RMD,220.59,2.99,1142700,207.70,200.61,193.77,183.90,178.82,176.79,174.62,189.67,179.82,180.84,0,0,1.21,0.92,
KLAC,232.32,0.28,1135000,221.04,215.50,210.94,202.42,194.77,191.91,189.05,209.78,200.50,197.34,0,0,0.13,0.26,
ISRG,773.45,5.39,1127900,726.68,719.95,717.27,700.76,666.63,655.37,645.22,722.16,709.64,660.89,12,11,-1.43,-0.56,
MHK,122.23,1.37,1117900,116.43,112.41,108.88,101.50,99.06,99.52,100.40,106.24,99.99,95.61,0,0,0.30,0.25,
MKC,178.32,-5.48,1068600,185.68,187.47,189.49,192.08,187.59,185.51,183.45,191.52,195.96,189.69,0,0,-0.53,-0.37,
LDOS,94.63,4.60,1048100,90.02,88.55,87.91,88.93,90.77,91.13,91.28,86.66,88.78,92.05,0,0,-0.18,-0.19,
NDAQ,129.68,-2.64,1014100,129.05,128.04,127.36,126.44,123.51,122.16,120.79,127.50,127.32,125.25,0,0,0.04,0.05,
ODFL,199.29,-3.73,1010400,200.16,198.61,197.20,192.26,182.29,178.29,174.32,197.85,194.50,184.23,0,0,0.03,0.13,
